Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90
Atlanta Utd,20,27.5,55.0,5,55,450,5.0,5,5,10,5,0,0,12,0,1.00,1.00,2.00,1.00,2.00
Austin FC,21,29.3,48.4,5,55,450,5.0,4,3,7,4,0,0,12,1,0.80,0.60,1.40,0.80,1.40
CF Montréal,22,24.5,47.8,5,55,450,5.0,7,3,10,5,2,2,5,1,1.40,0.60,2.00,1.00,1.60
Charlotte,19,30.2,49.6,5,55,450,5.0,10,7,17,10,0,0,12,0,2.00,1.40,3.40,2.00,3.40
Chicago Fire,23,26.9,54.2,5,55,450,5.0,7,1,8,5,2,2,13,1,1.40,0.20,1.60,1.00,1.20
Colorado Rapids,21,24.2,54.6,5,55,450,5.0,11,9,20,11,0,0,11,0,2.20,1.80,4.00,2.20,4.00
Columbus Crew,19,27.5,55.0,5,55,450,5.0,5,3,8,5,0,1,9,0,1.00,0.60,1.60,1.00,1.60
D.C. United,19,27.3,38.4,5,55,450,5.0,4,1,5,3,1,1,8,0,0.80,0.20,1.00,0.60,0.80
FC Cincinnati,23,26.9,51.6,5,55,450,5.0,7,5,12,7,0,0,9,2,1.40,1.00,2.40,1.40,2.40
FC Dallas,19,26.7,44.6,5,55,450,5.0,9,6,15,8,1,1,11,0,1.80,1.20,3.00,1.60,2.80
Houston Dynamo,20,28.7,41.3,4,44,360,4.0,8,6,14,8,0,0,10,4,2.00,1.50,3.50,2.00,3.50
Inter Miami,23,26.4,60.8,5,55,450,5.0,9,5,14,9,0,0,12,0,1.80,1.00,2.80,1.80,2.80
LA Galaxy,21,27.5,54.4,5,55,450,5.0,7,4,11,7,0,0,10,2,1.40,0.80,2.20,1.40,2.20
LAFC,19,29.6,49.4,5,55,450,5.0,8,6,14,8,0,0,8,0,1.60,1.20,2.80,1.60,2.80
Minnesota Utd,21,27.2,42.4,5,55,450,5.0,4,3,7,4,0,0,7,0,0.80,0.60,1.40,0.80,1.40
Nashville SC,20,27.8,52.8,5,55,450,5.0,13,6,19,12,1,1,10,1,2.60,1.20,3.80,2.40,3.60
NE Revolution,22,26.6,46.8,4,44,360,4.0,8,6,14,8,0,0,10,0,2.00,1.50,3.50,2.00,3.50
NY Red Bulls,22,23.9,61.4,5,55,450,5.0,5,3,8,5,0,0,8,1,1.00,0.60,1.60,1.00,1.60
NYCFC,18,27.4,55.2,5,55,450,5.0,13,6,19,11,2,2,8,0,2.60,1.20,3.80,2.20,3.40
Orlando City,22,25.4,38.8,5,55,450,5.0,5,4,9,5,0,0,10,2,1.00,0.80,1.80,1.00,1.80
Philadelphia Union,24,25.2,50.8,5,55,450,5.0,3,2,5,2,1,2,11,2,0.60,0.40,1.00,0.40,0.80
Portland Timbers,19,27.1,44.6,5,55,450,5.0,7,6,13,7,0,1,13,2,1.40,1.20,2.60,1.40,2.60
Real Salt Lake,23,25.6,44.0,5,55,450,5.0,8,7,15,8,0,0,12,0,1.60,1.40,3.00,1.60,3.00
San Diego FC,22,26.3,64.8,5,55,450,5.0,13,9,22,11,2,2,10,1,2.60,1.80,4.40,2.20,4.00
Seattle Sounders,21,27.5,49.4,5,55,450,5.0,5,4,9,5,0,0,13,0,1.00,0.80,1.80,1.00,1.80
SJ Earthquakes,19,26.3,48.2,5,55,450,5.0,7,5,12,7,0,0,8,0,1.40,1.00,2.40,1.40,2.40
Sporting KC,18,24.9,44.0,5,55,450,5.0,5,4,9,5,0,0,8,0,1.00,0.80,1.80,1.00,1.80
St. Louis City,20,27.1,50.6,5,55,450,5.0,4,3,7,4,0,0,7,0,0.80,0.60,1.40,0.80,1.40
Toronto FC,20,28.4,42.8,5,55,450,5.0,6,5,11,6,0,0,6,0,1.20,1.00,2.20,1.20,2.20
Vancouver W'caps,20,26.7,57.2,5,55,450,5.0,14,7,21,11,3,3,8,0,2.80,1.40,4.20,2.20,3.60
